textOriginal,processed_text,label
sekilas kaya michael scofield,kilas kaya michael scofield,0
menit 23:00 adalah niche yg bisa membuat penonton banyak pak sandi 😂,menit 2300 niche yg tonton sandi,0
Puasa jgn bocor,puasa jgn bocor,0
KPI nya penyerapan ,kpi nya serap,0
Ada ordal selesai,ordal selesai,0
13:22 fakta lagii 😂😂,1322 fakta,0
undang arap dan AAA clan,undang arap aaa clan,0
"13:25 Salah satu penyakit kronis yang menggerogoti Indonesia, cara yang bener-bener salah kaprah, picik, dan serakah.",1325 salah sakit kronis gerogot indonesia benerbener salah kaprah picik serakah,0
Kalo mau berbisnis yg benar dan jujur jgn di indonesia... Kalo mau jadi pebisnis besar harus nipu orang sana sini..,kalo bisnis yg jujur jgn indonesia kalo bisnis nipu orang,0
Menit 7 sampe menit 10 penting,menit 7 sampe menit 10,0
"kayaknya tim kreatif pak sandi butuh healing deh, gua kesini karna judulnya bisnis, tpi tiba2 22:20 comes from no where bahas konspirasi + ufo :')",kayak tim kreatif sandi butuh healing deh gua kesini karna judul bisnis tpi tiba2 2220 comes from no where bahas konspirasi ufo,0
Ini podcast raditya Dika boss,podcast raditya dika boss,0
"menyenangkan sekali ngobrol bareng pak sani,, dapat banyak insight gitu. tq ya radit",senang ngobrol bareng sani insight gitu tq ya radit,0
"Dari awal rilis, Gue kira DARWIN NUNEZ .. makanya gwe ga nonton dulu ternyataa sandiaga uno😂",rilis gue darwin nunez gwe ga nonton ternyataa sandiaga uno,0
Trik bisnis itu menjalin hubungan harmonis sama pemerintah,trik bisnis jalin hubung harmonis perintah,0
Sandi jago di finance 👍👍👍,sandi jago finance,0
Tips dan trik sukses di dunia bisnis punya orang daam,tips trik sukses dunia bisnis orang daam,0
"Kenapa banyak banget yang nyebut ☯𝘼𝙇𝙀𝙓𝙄𝙎𝟭𝟳☯ di sini, ada apa ya?",banget nyebut ya,0
"Sumpah penasaran, kok pada bahas ☯AL𝐄𝗫𝗜𝗦𝟏𝟕☯ di kolom komentar?",sumpah penasaran bahas al kolom komentar,0
Proses cepat? ☯𝘼𝙇𝙀𝙓𝙄𝙎𝟭𝟳☯ jagonya!,proses cepat jago,0
"Auto jadi topik pembicaraan, ☯𝐀𝐋EXIS17☯ emang keren.",auto topik bicara exis17 emang keren,0
"wow, habis dari podcast Timothy lanjut ke Raditya Dika",wow habis podcast timothy raditya dika,0
"Ngomongin ufo bareng pak sandi, kapan lagi ye",ngomongin ufo bareng sandi ye,0
agak shock tetiba swithcing teori konspirasi :DDDDD,shock tetiba swithcing teori konspirasi ddddd,0
usaha ekstraktif,usaha ekstraktif,0
Mantapp🥳🥳,mantapp,0
"dark fantasy, horor, thriller, cocok banget sama bang radit karna kebetulan juga agak psikopat, jadi vibes filmnya pasti dapet",dark fantasy horor thriller cocok banget bang radit karna psikopat vibes film dapet,0
Pak Sandi mirip banget ya sm Wentworth Miller pemain Prison Break ya gak sih????,sandi banget ya sm wentworth miller main prison break ya gak sih,1
22:46 dari bahas bisnis jadi bahas ufoo😂😂,2246 bahas bisnis bahas ufoo,0
"🔥 Main sekali, langsung JP! Gak percaya? 𝗠𝗔𝗡𝗝𝗨𝗥𝗕𝗘𝗧 jawabannya! 💎⚡",main langsung jp gak percaya,1
"Keberuntungan besar bikin aku makin puas main di 𝗠𝗔𝗡𝗝𝗨𝗥𝗕𝗘𝗧 , thank you!",untung bikin puas main thank you,1
"Happy banget main di 𝗠𝗔𝗡𝗝𝗨𝗥𝗕𝗘𝗧 , jakpotnya besar terus!",happy banget main jakpotnya,1
"Rezeki melimpah datang dari 𝗠𝗔𝗡𝗝𝗨𝗥𝗕𝗘𝗧 , makasih banyak!",rezeki limpah makasih,1
"💎 Hoki tiada henti di 𝗠𝗔𝗡𝗝𝗨𝗥𝗕𝗘𝗧, ayo main! 🚀",hoki tiada henti ayo main,1
💎 Modal kecil bisa jadi sultan di 𝗠𝗔𝗡𝗝𝗨𝗥𝗕𝗘𝗧! 💰🎰,modal sultan,1
🔥 Ayo buktikan sendiri keajaiban 𝗠𝗔𝗡𝗝𝗨𝗥𝗕𝗘𝗧! 💰,ayo bukti ajaib,0
"🎯 Ayo gaspol di 𝗠𝗔𝗡𝗝𝗨𝗥𝗕𝗘𝗧, untungnya luar biasa! 😎",ayo gaspol untung,1
